,id,name,year,run_time,genre,rating,about,director,actors,votes,gross
83,84,Les quatre cents coups,1959,99 min,"Crime, Drama            ",8.1,"ung boy, left without attention, delves into a life of petty crime.",François Truffaut ,"Jean-Pierre Léaud, Albert Rémy, Claire Maurier, Guy Decomble",110834,
84,85,The Square,2017,151 min,"Comedy, Drama            ",7.2,estigious Stockholm museum's chief art curator finds himself in times of both professional and personal crisis as he attempts to set up a controversial new exhibit.,Ruben Östlund ,"Claes Bang, Elisabeth Moss, Dominic West, Terry Notary",59141,$1.50M
85,86,Slumdog Millionaire,2008,120 min,"Drama, Romance            ",8,"mbai teenager reflects on his life after being accused of cheating on the Indian version of ""Who Wants to be a Millionaire?"".","Danny Boyle, Loveleen Tandan ","Dev Patel, Freida Pinto, Saurabh Shukla, Anil Kapoor",816385,$141.32M
86,87,Arizona Raiders,1965,97 min,Western            ,6, Quantrill's (Quantrell) gang is almost destroyed two of the captured members agree to join the Arizona Rangers to help finish the job.,William Witney ,"Audie Murphy, Michael Dante, Ben Cooper, Buster Crabbe",1079,
87,88,Kona fer í stríð,2018,101 min,"Adventure, Comedy, Drama            ",7.4,"a becomes a determined environmental activist, but this threatens a long-held hope of hers.",Benedikt Erlingsson ,"Halldóra Geirharðsdóttir, Jóhann Sigurðarson, Juan Camilo Román Estrada, Jörundur Ragnarsson",8940,$0.85M
88,89,Groundhog Day,1993,101 min,"Comedy, Fantasy, Romance            ",8,atherman finds himself inexplicably living the same day over and over again.,Harold Ramis ,"Bill Murray, Andie MacDowell, Chris Elliott, Stephen Tobolowsky",594423,$70.91M
89,90,Estiu 1993,2017,97 min,"Adventure, Drama, Family            ",7.2,"r her mother's death, six-year-old Frida is sent to her uncle's family to live with them in the countryside. But Frida finds it hard to forget her mother and adapt to her new life.",Carla Simón ,"Laia Artigas, Paula Robles, Bruna Cusí, David Verdaguer",6867,$0.18M
90,91,Maudie,2016,115 min,"Biography, Drama, Romance            ",7.6,rthritic Nova Scotia woman works as a housekeeper while she hones her skills as an artist and eventually becomes a beloved figure in the community.,Aisling Walsh ,"Sally Hawkins, Ethan Hawke, Zachary Bennett, Gabrielle Rose",17215,$6.17M
91,92,The Man Who Knew Infinity,2015,108 min,"Biography, Drama            ",7.2,"story of the life and academic career of the pioneer Indian mathematician, Srinivasa Ramanujan, and his friendship with his mentor, Professor G.H. Hardy.",Matt Brown ,"Dev Patel, Jeremy Irons, Malcolm Sinclair, Raghuvir Joshi",53918,$3.87M
92,93,King Lear,2018,115 min,Drama            ,6.2,"ging King invites disaster when he abdicates to his corrupt, toadying daughters, and rejects his loving and honest one.",Richard Eyre ,"Jim Broadbent, Jim Carter, Tobias Menzies, Emily Watson",3428,
93,94,Awakenings,1990,121 min,"Biography, Drama            ",7.8,"victims of an encephalitis epidemic many years ago have been catatonic ever since, but now a new drug offers the prospect of reviving them.",Penny Marshall ,"Robert De Niro, Robin Williams, Julie Kavner, Ruth Nelson",132090,$52.10M
94,95,Manbiki kazoku,2018,121 min,"Crime, Drama            ",7.9,mily of small-time crooks take in a child they find outside in the cold.,Hirokazu Koreeda ,"Lily Franky, Sakura Andô, Kirin Kiki, Mayu Matsuoka",69107,$3.31M
95,96,Réparer les vivants,2016,103 min,Drama            ,6.9,"ngle devastating event intertwines inextricably the lives of an unfortunate teenager, a weary woman with a critical degenerative heart condition and a team of compassionate doctors; all perfect strangers, perfectly interconnected.",Katell Quillévéré ,"Tahar Rahim, Emmanuelle Seigner, Anne Dorval, Bouli Lanners",3128,$0.00M
96,97,Rooz-haye Narenji,2018,98 min,Drama            ,5.9," Aban - tough, self-sufficient, and the only woman contractor in the orange fields of northern Iran - beats out the male competition for a big job, the operation seems to get off to a rocky start. But Aban won't let go without a fight.",Arash Lahooti ,"Hediyeh Tehrani, Ali Mosaffa, Mehran Ahmadi, Alireza Ostadi",326,
97,98,Oiktos,2018,97 min,Drama            ,6.7,"story of a man who feels happy only when he is unhappy, a man addicted to sadness, who has such need for pity, he's willing to do everything to evoke it from others. This is the life of a man in a world not cruel enough for him.",Babis Makridis ,"Giannis Drakopoulos, Evi Saoulidou, Makis Papadimitriou, Nota Tserniafski",2895,
98,99,Forushande,2016,124 min,Drama            ,7.7,"e both participating in a production of ""Death of a Salesman,"" a teacher's wife is assaulted in her new home, which leaves him determined to find the perpetrator over his wife's traumatized objections.",Asghar Farhadi ,"Shahab Hosseini, Taraneh Alidoosti, Babak Karimi, Mina Sadati",55847,$2.40M
99,100,Ága,2018,96 min,Drama            ,7.3,"he far north, Sedna and Nanook dream of bringing back their family together. After Sedna's death, Nanook walks a long way to find his daughter Ága, who ran away years ago.",Milko Lazarov ,"Mikhail Aprosimov, Feodosia Ivanova, Sergei Egorov, Galina Tikhonova",1350,$0.00M
100,101,Wajib,2017,96 min,"Comedy, Drama            ",7.3,"ther and his estranged son must come together to hand deliver his daughter's wedding invitations to each guest as per local Palestinian custom, in this rousing family drama from Annemarie Jacir (When I Saw You).",Annemarie Jacir ,"Mohammad Bakri, Saleh Bakri, Tarik Kopty, Monera Shehadeh",1507,
101,102,Russkiy kovcheg,2002,99 min,"Drama, Fantasy, History            ",7.4,"th century French aristocrat, notorious for his scathing memoirs about life in Russia, travels through the Russian State Hermitage Museum and encounters historical figures from the last 200+ years.",Aleksandr Sokurov ,"Sergey Dreyden, Mariya Kuznetsova, Leonid Mozgovoy, Mikhail Piotrovsky",19825,$0.04M
102,103,Lazzaro felice,2018,128 min,"Drama, Fantasy, Mystery            ",7.5,nceasingly kind Italian peasant and his family are blatantly exploited by a tobacco baroness.,Alice Rohrwacher ,"Adriano Tardiolo, Agnese Graziani, Alba Rohrwacher, Luca Chikovani",16730,
